Task,Task Detail Description,Priority,Status,Environment,Phase,Hours,Timeline,Remarks,Resource
UAT Validation,,,,,,,,,
Real Hiring Validation,Nominate 3-4 live requisitions and run each end-to-end: upload > screening > shortlist > interview > assessment > final decision,High,Yet-to-start,Staging,Phase 3 - UAT,24,Week 1-4,"P0 - New requirement - Sanghamitra Roy - 'this has to work actually with our processes for at least 3-4 hirings and we see that this is robust'",
Real Hiring Validation,Maintain one consolidated defect / process-gap tracker with every item classified P0-P3,High,Yet-to-start,Staging,Phase 3 - UAT,4,Week 1-4,"P0 - New requirement - Sanghamitra Roy - 'they need to test the whole thing'",
UAT Onboarding,Brief Chhaya and Naveen and get them testing; both on leave until Tue/Wed,High,Yet-to-start,Staging,Phase 3 - UAT,2,Week 1,"P0 - New requirement - Pankaj Kumar Mondal / Sanghamitra Roy - 'I will inform them so that they do that ASAP'",
MRF Approval Defect,Reproduce the production MRF approval failure - capture the exact error text - fix and re-test,High,Yet-to-start,Staging,Phase 3 - UAT,4,Week 1,"P0 - Needs validation - Sanghamitra Roy - 'I approved it and it was not going. It says that something last or something like that'",
Screening Validation,Confirm a JD / filter change re-screens previously filtered-out candidates including those excluded on budget,High,Yet-to-start,Staging,Phase 3 - UAT,3,Week 1,"P1 - Needs validation - Sanghamitra Roy - Harish confirmed live: 'once we update the JD it will automatically updates everything'",
Evalground Assessment Import,Confirm the Public Report URL in the Evalground export opens without an Evalground login,Medium,Yet-to-start,Staging,Phase 3 - UAT,1,Week 1,"P1 - Needs validation - GATES the report-link task below - Sanghamitra Roy - 'we also look at the report in detail'",
Scheduling Validation,Teams / Outlook forward-version compatibility check on calendar invites and HTML emails,Medium,Yet-to-start,Staging,Phase 3 - UAT,3,Week 2,"P2 - Needs validation - Sanghamitra Roy - 'what happens if there is any like just a Teams and Outlook is gets different versions'",
Screening Validation,Confirm the LinkedIn profile URL is captured and displayed on real candidates,Low,Yet-to-start,Staging,Phase 3 - UAT,1,Week 2,"P3 - Already in place - spot-check only - Sanghamitra Roy - 'are we also capturing their LinkedIn profile link'",
Candidate Pipeline,,,,,,,,,
Candidate Complete Download,Agree dossier contents and format with HR: resume / Zeko report / Evalground report / all round scorecards / recording links,High,Yet-to-start,Staging,Phase 4,3,Week 1,"P0 - Needs clarification on format - Sanghamitra Roy - 'she should be able to download all that Pankaj has cleared so far'",
Candidate Complete Download,Backend: per-candidate aggregation endpoint under /api/pipeline/:id/dossier,High,Yet-to-start,Staging,Phase 4,6,Week 2,"P0 - New requirement - today only list-level exports exist (pipeline.routes.js:29 / screening.routes.js:35 / candidate.routes.js:69)",
Candidate Complete Download,Generate the downloadable pack (PDF summary plus attachments),High,Yet-to-start,Staging,Phase 4,8,Week 2,"P0 - New requirement - Sanghamitra Roy - 'downloads everything of Pankaj and then shares with Atul over mail'",
Candidate Complete Download,Frontend: Download button in PipelineDrawer restricted to recruiter and final decision-makers,High,Yet-to-start,Staging,Phase 4,3,Week 2,"P0 - New requirement - Sanghamitra Roy - 'as a recruiter she should have that provision'",
Candidate Complete Download,Verify the pack opens outside the ATS with no login and leaks no vendor or CTC data,High,Yet-to-start,Staging,Phase 4,3,Week 2,"P0 - New requirement - recipient is an external Technical 3/4 interviewer with no ATS account",
Interview Recording Access,Capture the Teams recording link per round - extend the existing manual rpa_interview_scorecard.recording_url and auto-populate where Graph permits,High,Yet-to-start,Staging,Phase 4,6,Week 2,"P0 - Partially implemented - field exists today as a manual paste (InterviewScorecard.jsx:282 / schema.prisma:928) - Sanghamitra Roy",
Interview Recording Access,Role-gate recording visibility to recruiter / HR Head / CEO - hidden from interviewers,High,Yet-to-start,Staging,Phase 4,4,Week 2,"P0 - New requirement - Sanghamitra Roy - 'for others it is not needed - only when it comes to me and Abhijit'",
Interview Recording Access,Surface Technical 1 and Technical 2 recording links in the PipelineDrawer round panels and include them in the dossier,High,Yet-to-start,Staging,Phase 4,3,Week 2,"P0 - New requirement - Sanghamitra Roy - 'I need to be able to see the recordings of these people the technical one technical 2 person'",
Referral Candidate,DDL: referral flag and referred_by on the shortlist / pipeline row,Medium,Yet-to-start,Staging,Phase 4,2,Week 3,"P1 - New requirement - zero occurrences of 'referral' anywhere in the codebase today",
Referral Candidate,Set the referral flag at shortlist / tag-to-JD time on the keyword-search path,Medium,Yet-to-start,Staging,Phase 4,3,Week 3,"P1 - New requirement - Sanghamitra Roy - 'it will also show as referred referral candidate'",
Referral Candidate,Role-based visibility: recruiter and final decision-maker only - suppressed for every interviewer and on scorecards,Medium,Yet-to-start,Staging,Phase 4,4,Week 3,"P1 - New requirement - Sanghamitra Roy - 'I do not want the interviewer to see. But the recruiter need to see that it is a referral candidate'",
Referral Candidate,Verify the referral chip is absent from interviewer payloads / scorecard forms / interviewer emails,Medium,Yet-to-start,Staging,Phase 4,2,Week 3,"P1 - New requirement - Sanghamitra Roy - 'None of the interview process should know that it is a referred person'",
Evalground Assessment Import,,,,,,,,,
Evalground Assessment Import,DDL: add public_report_url to rpa_assessment_results,Medium,Yet-to-start,Staging,Phase 4,1,Week 2,"P1 - Enhancement - the table has no report-link column today (schema.prisma:867-894)",
Evalground Assessment Import,Map the Public Report column during the existing bulk CSV import,Medium,Yet-to-start,Staging,Phase 4,2,Week 2,"P1 - Enhancement - the Evalground export already carries the column; assessmentImport.service.js does not map it",
Evalground Assessment Import,Render the report link on the assessment stage segment mirroring the existing zekoReportLink pattern,Medium,Yet-to-start,Staging,Phase 4,3,Week 2,"P1 - Enhancement - Sanghamitra Roy - 'the numbers will not give us that thing what the report will give'",
Analytics Screen,,,,,,,,,
Analytics Screen,Add per-role Total Applied and Moved Forward columns plus the shortlisting ratio,Medium,Yet-to-start,Staging,Phase 4,6,Week 3,"P1 - Partially implemented - per-role counts already computed at screening.service.js:2461-2488 but only global totals are surfaced. Absorbs the existing 'Analytics should show candidate details per role' line on the Phase 4 sheet - Sanghamitra Roy - 'I need both the numbers 100 and 50 - 2 more columns'",
