Task,Task Detail Description,Priority,Status,Environment,Phase,Hours,Remarks,Resource
Zeko API Validation (R&D),"Review Zeko API docs/sandbox for score/cheat-probability/report/recording fields & connect with Zeko team if required, Finalize the Outcome",High,Yet-to-start,Staging,Phase 3,14, Unassigned until now  single biggest schedule risk in Phase 3,
Zeko Auto-Advance & AI Report (M3b),Rename rpa_cv.ZekoCommunicationScore to a coding-score field + downstream refs,High,Yet-to-start,Staging,Phase 3,2,Zeko dropped communication score - interview score always coding score for coding roles,
Zeko Auto-Advance & AI Report (M3b),Auto-advance rule engine: score>=50% + cheat-probability Low/Moderate/High branching,High,Yet-to-start,Staging,Phase 3,4,Supersedes the earlier per-role score-band design,
Zeko Auto-Advance & AI Report (M3b),Recruiter-approval queue for Moderate cheat-probability cases,High,Yet-to-start,Staging,Phase 3,3,,
Zeko Auto-Advance & AI Report (M3b),Auto-reject wiring for High cheat-probability,High,Yet-to-start,Staging,Phase 3,2,,
Zeko Auto-Advance & AI Report (M3b),Full Zeko test report fetch + store (score breakdown + cheat-probability detail),High,Yet-to-start,Staging,Phase 3,3,Depends on Zeko API actually exposing this - see Zeko API Validation row,
Zeko Auto-Advance & AI Report (M3b),Interview recording link/embed fetch + store,High,Yet-to-start,Staging,Phase 3,2,Same dependency as above,
Zeko Auto-Advance & AI Report (M3b),Frontend: Zeko report + recording panel in PipelineDrawer,High,Yet-to-start,Staging,Phase 3,3,,
Zeko Auto-Advance & AI Report (M3b),Verification: auto-advance/approve/reject decisions match Zeko data across score+cheat-probability matrix,High,Yet-to-start,Staging,Phase 3,3,,
Zeko Auto-Advance & AI Report (M3b),Verification: manual-entry fallback works end-to-end if Zeko API lacks a required field,High,Yet-to-start,Staging,Phase 3,2,,
Evalground Import Readiness (R&D),"Verify bulk CSV sample vs Section 1/2/3 design, single-result Outlook report sample",High,Yet-to-start,Staging,Phase 3,3,Sample received 2026-07-14 . High level verification done from Harish.,
Evalground Import Readiness (R&D),Plan - bulk CSV section + skill mapping approach,High,Yet-to-start,Staging,Phase 3,2,Blocks M2 bulk importer UI,
