Release,Module,Feature,Started/Requested Date,Implemented Date,What It Means For You
Phase 3,Candidate Pipeline,Comprehensive 12-stage hiring pipeline,13/07/2026,21/07/2026,"Every candidate now moves through a clear, comprehensive, configurable set of stages (Screening through Offer) instead of ad-hoc tracking."
Phase 3,Candidate Pipeline,Approve / Reject / Hold with mandatory reason,13/07/2026,21/07/2026,"Every decision at every stage requires a reason, is logged for audit, automatically emails the candidate, and notifies the team."
Phase 3,Candidate Pipeline,Admin-configurable stages and reasons,13/07/2026,5/8/2026,"Admins can add or reorder stages, outcomes, and rejection reasons from a screen -- no developer needed for routine changes."
Phase 3,Candidate Pipeline,Close a candidate's journey from any stage,13/07/2026,26/08/2026,"Recruiters can now formally close out a candidate (withdrawn, backed out, not selected, etc.) from wherever they are in the process, not only at the Offer stage."
Phase 3,Candidate Pipeline,Reopen a closed journey,13/07/2026,26/08/2026,A candidate closed by mistake can be reopened instead of starting the record over.
Phase 3,Candidate Pipeline,Pause a candidate,13/07/2026,26/08/2026,Recruiters can pause a candidate's journey and it is correctly excluded from reminders and automated sweeps while paused.
Phase 3,Candidate Pipeline,Notification bell,13/07/2026,24/08/2026,"The header notification bell is now visible and working -- recruiters, HR and admins get notified of pipeline events (new reviews, feedback due, offers, etc.) as they happen."
Phase 3,Candidate Pipeline,Automatic document and offer reminders,13/07/2026,5/8/2026,"Candidates who go quiet on a document request, and approvers sitting on a pending offer, now get automatic follow-up emails instead of relying on someone remembering."
Phase 3,Candidate Pipeline,Non-production email safety,13/07/2026,5/8/2026,"On the Staging server, no email can ever reach a real candidate -- every send is automatically redirected to an internal test inbox, so UAT is safe to run end-to-end."
Phase 3,Evalground Assessment,Bulk result import,13/07/2026,24/07/2026,"HR uploads one CSV export from Evalground and the system automatically matches every row to the right candidate, records the score, and (optionally) auto-approves or rejects on the pass mark."
Phase 3,Interview Scheduling,All interview rounds now schedulable,13/07/2026,29/07/2026,"Booking an interview (Outlook calendar invite + Teams link + reminders + scorecard) now works for every round: Technical 1, 2 and 3, HR, and CEO / Final"
